query mid=9451,threshold=0.170000
in func similar
cmp with mail 0,A=125,B=121
ptrA:79,ptrB:79,intersect:0
ptrA:79,ptrB:80,intersect:0
ptrA:80,ptrB:80,intersect:0
ptrA:81,ptrB:80,intersect:0
ptrA:81,ptrB:81,intersect:0
ptrA:81,ptrB:82,intersect:0
ptrA:82,ptrB:82,intersect:0
ptrA:82,ptrB:83,intersect:0
ptrA:83,ptrB:83,intersect:0
ptrA:83,ptrB:84,intersect:0
ptrA:84,ptrB:84,intersect:0
ptrA:85,ptrB:84,intersect:0
ptrA:85,ptrB:85,intersect:0
ptrA:86,ptrB:85,intersect:0
ptrA:87,ptrB:85,intersect:0
ptrA:88,ptrB:85,intersect:0
ptrA:89,ptrB:85,intersect:0
ptrA:89,ptrB:86,intersect:0
ptrA:89,ptrB:87,intersect:0
ptrA:89,ptrB:88,intersect:0
ptrA:89,ptrB:89,intersect:0
ptrA:89,ptrB:90,intersect:0
ptrA:90,ptrB:90,intersect:0
ptrA:90,ptrB:91,intersect:0
ptrA:90,ptrB:92,intersect:0
ptrA:91,ptrB:92,intersect:0
ptrA:92,ptrB:92,intersect:0
ptrA:92,ptrB:93,intersect:0
ptrA:92,ptrB:94,intersect:0
ptrA:92,ptrB:95,intersect:0
ptrA:92,ptrB:96,intersect:0
ptrA:93,ptrB:96,intersect:0
ptrA:93,ptrB:97,intersect:0
ptrA:94,ptrB:97,intersect:0
ptrA:94,ptrB:98,intersect:0
ptrA:95,ptrB:98,intersect:0
ptrA:95,ptrB:99,intersect:0
ptrA:96,ptrB:99,intersect:0
ptrA:97,ptrB:99,intersect:0
ptrA:97,ptrB:100,intersect:0
ptrA:97,ptrB:101,intersect:0
ptrA:97,ptrB:102,intersect:0
ptrA:98,ptrB:102,intersect:0
ptrA:99,ptrB:102,intersect:0
ptrA:100,ptrB:102,intersect:0
ptrA:100,ptrB:103,intersect:0
ptrA:100,ptrB:104,intersect:0
ptrA:100,ptrB:105,intersect:0
ptrA:101,ptrB:105,intersect:0
ptrA:102,ptrB:105,intersect:0
ptrA:102,ptrB:106,intersect:0
ptrA:103,ptrB:106,intersect:0
ptrA:104,ptrB:106,intersect:0
ptrA:105,ptrB:106,intersect:0
ptrA:106,ptrB:106,intersect:0
ptrA:107,ptrB:106,intersect:0
ptrA:107,ptrB:107,intersect:0
ptrA:107,ptrB:108,intersect:0
ptrA:108,ptrB:108,intersect:0
ptrA:108,ptrB:109,intersect:0
ptrA:108,ptrB:110,intersect:0
ptrA:108,ptrB:111,intersect:0
ptrA:108,ptrB:112,intersect:0
ptrA:108,ptrB:113,intersect:0
ptrA:108,ptrB:114,intersect:0
ptrA:108,ptrB:115,intersect:0
ptrA:109,ptrB:115,intersect:0
ptrA:110,ptrB:115,intersect:0
ptrA:110,ptrB:116,intersect:0
ptrA:110,ptrB:117,intersect:0
ptrA:111,ptrB:117,intersect:0
ptrA:112,ptrB:117,intersect:0
ptrA:112,ptrB:118,intersect:0
ptrA:113,ptrB:118,intersect:0
ptrA:113,ptrB:119,intersect:0
ptrA:114,ptrB:119,intersect:0
ptrA:115,ptrB:119,intersect:0
ptrA:116,ptrB:119,intersect:0
ptrA:117,ptrB:119,intersect:0
ptrA:118,ptrB:119,intersect:0
ptrA:119,ptrB:119,intersect:0
ptrA:120,ptrB:119,intersect:0
ptrA:121,ptrB:119,intersect:0
ptrA:122,ptrB:119,intersect:0
ptrA:123,ptrB:119,intersect:0
ptrA:124,ptrB:119,intersect:0
ptrA:124,ptrB:120,intersect:0

cmp with mail 1,A=125,B=112
ptrA:0,ptrB:0,intersect:0
ptrA:0,ptrB:1,intersect:0
ptrA:0,ptrB:2,intersect:0
ptrA:1,ptrB:2,intersect:0
ptrA:2,ptrB:2,intersect:0
ptrA:3,ptrB:2,intersect:0
ptrA:4,ptrB:2,intersect:0
ptrA:5,ptrB:2,intersect:0
ptrA:6,ptrB:2,intersect:0
ptrA:7,ptrB:2,intersect:0
ptrA:8,ptrB:2,intersect:0
ptrA:9,ptrB:2,intersect:0
ptrA:10,ptrB:2,intersect:0
ptrA:11,ptrB:2,intersect:0
ptrA:12,ptrB:2,intersect:0
ptrA:13,ptrB:2,intersect:0
ptrA:14,ptrB:2,intersect:0
ptrA:15,ptrB:2,intersect:0
ptrA:15,ptrB:3,intersect:0
ptrA:15,ptrB:4,intersect:0
ptrA:15,ptrB:5,intersect:0
ptrA:15,ptrB:6,intersect:0
ptrA:15,ptrB:7,intersect:0
ptrA:16,ptrB:7,intersect:0
